Name,Location,Website,School Type,Largest Program
Access Careers,"474 Fulton Avenue, Suite 201, Hempstead, New York 11550-0000",www.accesscareers.net/,"< 2-year, Private for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants, Other"
Access Careers-Islandia,"1930 Veterans Highway, Suite 10, Islandia, New York 11749-1599",www.accesscareers.net/,"< 2-year, Private for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants, Other"
Ace Institute of Technology,"312 West 36 Street, 2nd Floor, New York, New York 10018",www.acecareer.edu/,"2-year, Private for-profit",Medical/Clinical Assistant
Adelphi University,"1 South Ave, Garden City, New York 11530-0701",www.adelphi.edu/,"4-year, Private not-for-profit",-
Aesthetic Science Institute,"922 Troy-Schenectady Road, Latham, New York 12110-1095",www.aestheticscienceinstitute.edu/,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Albany BOCES-Adult Practical Nursing Program,"900  Watervliet Shaker Rd, Albany, New York 12205",https://www.capitalregionboces.org/adult-education/classes-programs/,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Albany College of Pharmacy and Health Sciences,"106 New Scotland Avenue, Albany, New York 12208-3492",www.acphs.edu/,"4-year, Private not-for-profit",-
Albany Law School,"80 New Scotland Avenue, Albany, New York 12208",www.albanylaw.edu/,"4-year, Private not-for-profit",-
Albany Medical College,"47 New Scotland Ave, Albany, New York 12208-3479",www.amc.edu/,"4-year, Private not-for-profit",-
Albert Einstein College of Medicine,"1300 Morris Park Avenue, Bronx, New York 10461-1900",www.einsteinmed.edu/,"4-year, Private not-for-profit",-
Alfred University,"One Saxon Drive, Alfred, New York 14802-1205",www.alfred.edu/,"4-year, Private not-for-profit",-
Allen School-Brooklyn,"188 Montague Street, Brooklyn, New York 11201",www.allenschool.edu/,"< 2-year, Private for-profit",Medical/Clinical Assistant
Allen School-Jamaica,"163-18 Jamaica Avenue, Jamaica, New York 11432",www.allenschool.edu/,"< 2-year, Private for-profit",Medical/Clinical Assistant
Alliance Computing Solutions,"3660 Main Street, 4th Floor, Flushing, New York 11354-6507",www.acs.edu/,"< 2-year, Private for-profit",Medical/Clinical Assistant
Alliance Computing Solutions - NYC,"545 8th Avenue Suite 1210, New York, New York 10018-4313",www.acs.edu/,"< 2-year, Private for-profit",Medical/Clinical Assistant
American Academy McAllister Institute of Funeral Service,"1501 Broadway, 11th Floor, Suite 1102, New York, New York 10036",www.funeraleducation.org/,"2-year, Private not-for-profit",-
American Academy of Dramatic Arts-New York,"120 Madison Ave, New York, New York 10016",www.aada.edu/,"2-year, Private not-for-profit",-
American Beauty School,"1380 Metropolitan Avenue, Bronx, New York 10462",www.americanbeautyschool.edu/,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
American Musical and Dramatic Academy,"211 West 61st Street, New York, New York 10023",www.amda.edu/,"4-year, primarily associate's, Private not-for-profit",-
AMG School of Nursing,"110 Bridge Street, Brooklyn, New York 11201-1728",amg.edu/,"2-year, Private for-profit",Licensed Practical/Vocational Nurse Training
Apex Technical School,"11-05 44th Drive, Long Island City, New York 11101",www.apexschool.com/,"< 2-year, Private for-profit",Electrician
Arnot Ogden Medical Center,"600 Roe Avenue, Elmira, New York 14905-1676",www.arnothealth.org/,"2-year, Private not-for-profit",Registered Nursing/Registered Nurse
Arrojo Cosmetology School,"56 King St., New York, New York 10014",www.arrojocosmetology.com/,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Associated Beth Rivkah Schools,"310 Crown Street, Brooklyn, New York 11225-0000",https://www.bethrivkah.edu/dhl,"4-year, primarily associate's, Private not-for-profit",-
Atelier Esthetique Institute of Esthetics,"226 East 26th Street 7th Floor, New York, New York 10001",www.aeinstitute.net/,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Austin Medical Assistant Training,"109-15 72nd Road, Unit 1A, Forest Hills, New York 11375-0000",https://amat.edu/,"2-year, Private for-profit",Medical Office Assistant/Specialist
Aveda Arts & Sciences Institute-New York,"233 Spring St, New York, New York 10013",avedaarts.edu/,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Bais Binyomin Academy,"51 Carlton Road, Monsey, New York 10952",https://baisbinyominacademy.com/,"4-year, primarily associate's, Private not-for-profit",-
Bais Medrash Elyon,"73 Main Street, Monsey, New York 10952",baismedroshelyon.com/,"4-year, Private not-for-profit",-
Bais Medrash of Dexter Park,"445 South Pascack Road, Chestnut Ridge, New York 10977",https://bmdpark.com/,"4-year, primarily associate's, Private not-for-profit",-
Bank Street College of Education,"610 W 112 St, New York, New York 10025",www.bankstreet.edu/,"4-year, Private not-for-profit",-
Barber & Beauty Institute of New York,"266 Greenwich Street, Hempstead, New York 11550-6317",www.bbiny.edu/#,"< 2-year, Private for-profit",Barbering/Barber
Bard College,"Annandale Road, Annandale-On-Hudson, New York 12504-5000",www.bard.edu/,"4-year, Private not-for-profit",-
Bard College - Albion Correctional Facility,"3595 State School Road, Albion, New York 14411-9399",https://www.bard.edu/,"4-year, Private not-for-profit",-
Bard College - Bard Globalization and International Affairs Program,"108 West 39th Street Suite 1000A, New York, New York 10018-3614",https://www.bard.edu/,"4-year, Private not-for-profit",-
Bard College - Brooklyn Public Library,"10 Grand Army Plaza, Brooklyn, New York 11238-5619",https://www.bard.edu/,"2-year, Private not-for-profit",-
Bard College - Coxsackie Correctional Facility,"11260 Route 9W, Coxsackie, New York 12051-0200",https://www.bard.edu/,"< 2-year, Private not-for-profit",-
Bard College - Eastern NY Correctional Facility,"30 Institution Road, Napanoch, New York 12458-0338",https://www.bard.edu/,"4-year, Private not-for-profit",-
Bard College - Fishkill Correctional Facility,"18 Strack Drive, Beacon, New York 12508-0307",https://www.bard.edu/,"4-year, Private not-for-profit",-
Bard College - Green Haven Correctional Facility,"594 Route 216, Stormville, New York 12582-0010",https://www.bard.edu/,"4-year, Private not-for-profit",-
"Bard College - New York Public Library, Countee Cullen Branch","104 West 136th Street New York Public Library, New York, New York 10030-2601",https://www.bard.edu/,"2-year, Private not-for-profit",-
Bard College - Taconic Correctional Facility,"250 Harris Road, Bedford Hill, New York 10507-2497",https://www.bard.edu/,"4-year, Private not-for-profit",-
Bard College - Woodbourne Correctional Facility,"99 Prison Road, Woodbourne, New York 12788-1000",https://www.bard.edu/,"4-year, Private not-for-profit",-
Barnard College,"3009 Broadway, New York, New York 10027-6598",www.barnard.edu/,"4-year, Private not-for-profit",-
Be'er Yaakov Talmudic Seminary,"12 Truman Avenue, Spring Valley, New York 10977",www.byts.edu/,"4-year, Private not-for-profit",-
Beis Medrash Heichal Dovid,"211 Beach Seventeenth Street, Far Rockaway, New York 11691-4433",www.heichaldovid.org/,"4-year, Private not-for-profit",-
Belanger School of Nursing,"650 McClellan St, Schenectady, New York 12304",www.ellismedicine.org/school-of-nursing/,"2-year, Private not-for-profit",-
Berk Trade and Business School,"33-09 Queens Boulevard, Long Island City, New York 11101-8120",www.berktradeschool.com/,"< 2-year, Private for-profit","Electrical and Power Transmission Installation/Installer, General"
Berkeley College-New York,"3 East 43 Street, New York, New York 10017",https://berkeleycollege.edu/,"4-year, Private for-profit",-
Berkowits School of Electrolysis,"107-25 Metropolitan Avenue, Forest Hills, New York 11375-6820",estheticsschoolny.com/,"< 2-year, Private for-profit",Electrolysis/Electrology and Electrolysis Technician
Bet Medrash Gadol Ateret Torah,"1750 East Fourth Street, Brooklyn, New York 11223-1933",betmedrashgadolaterettorah.com/,"4-year, Private not-for-profit",-
Beth Hamedrash Shaarei Yosher Institute,"4102 16th Ave, Brooklyn, New York 11204",bhsy.edu/,"4-year, primarily associate's, Private not-for-profit",-
Beth Medrash Meor Yitzchok,"85 Dykstras Way East, Monsey, New York 10952-4023",https://bethmedrashmeoryitzchok.com/,"4-year, primarily associate's, Private not-for-profit",-
Binghamton University,"4400 Vestal Parkway East, Vestal, New York 13850-6000",www.binghamton.edu/,"4-year, Public",-
Bnos Zion Of Bobov Seminary,"5000 14th Avenue, Brooklyn, New York 11219-3621",https://www.bnoszionbobov.com/,"2-year, Private not-for-profit",-
Boricua College,"3755 Broadway, New York, New York 10032-1560",https://www.boricuacollege.edu/,"4-year, Private not-for-profit",-
Brittany Beauty Academy,"210 East 188th St, Bronx, New York 10458",https://brittanyacademy.edu/,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Brittany Beauty Academy,"375 86th Street, Brooklyn, New York 11209",brittanyacademy.edu/,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Brittany Beauty Academy,"3274 Hempstead Turnpike, Levittown, New York 11756-1345",https://brittanyacademy.edu/,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Brooklyn Law School,"250 Joralemon St, Brooklyn, New York 11201",www.brooklaw.edu/,"4-year, Private not-for-profit",-
Broome Delaware Tioga BOCES-Practical Nursing Program,"1100 East Main Street, Endicott, New York 13760",www.btboces.org/,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Bryant & Stratton College-Albany,"1259 Central Ave, Albany, New York 12205",https://www.bryantstratton.edu/,"4-year, primarily associate's, Private not-for-profit",-
Bryant & Stratton College-Amherst,"3650 Millersport Highway, Getzville, New York 14068",https://www.bryantstratton.edu/,"4-year, Private not-for-profit",-
Bryant & Stratton College-Buffalo,"110 Broadway, 2nd Floor, Buffalo, New York 14203",https://www.bryantstratton.edu/,"4-year, primarily associate's, Private not-for-profit",-
Bryant & Stratton College-Greece,"854 Long Pond Road, Rochester, New York 14612",https://www.bryantstratton.edu/,"4-year, primarily associate's, Private not-for-profit",-
Bryant & Stratton College-Henrietta,"1225 Jefferson Rd, Rochester, New York 14623",https://www.bryantstratton.edu/,"4-year, Private not-for-profit",-
Bryant & Stratton College-Online,"200 Redtail Rd, Orchard Park, New York 14127",https://www.bryantstratton.edu/,"4-year, primarily associate's, Private not-for-profit",-
Bryant & Stratton College-Southtowns,"Sterling Park - 180 Redtail Rd., Orchard Park, New York 14127",https://www.bryantstratton.edu/,"4-year, Private not-for-profit",-
Bryant & Stratton College-Syracuse,"953 James St, Syracuse, New York 13203-2502",https://www.bryantstratton.edu/,"2-year, Private not-for-profit",-
Bryant & Stratton College-Syracuse North,"7805 Oswego Rd, Liverpool, New York 13090",https://www.bryantstratton.edu/,"4-year, primarily associate's, Private not-for-profit",-
Canisius University,"2001 Main Street, Buffalo, New York 14208-1098",https://www.canisius.edu/,"4-year, Private not-for-profit",-
Capri Cosmetology Learning Centers,"251 West Route 59, Nanuet, New York 10954",caprinow.edu/,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Career School of NY,"350 St. Marks Pl, Staten Island, New York 10301",careerschoolny.com/,"< 2-year, Private not-for-profit",Aesthetician/Esthetician and Skin Care Specialist
Cattaraugus Allegany BOCES-Practical Nursing Program,"1825 Windfall Rd, Olean, New York 14760",www.caboces.org/,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Cayuga County Community College,"197 Franklin Street, Auburn, New York 13021-3099",https://www.cayuga-cc.edu/,"2-year, Public",-
Cayuga Onondaga BOCES-Practical Nursing Program,"Center for Learning 12 Allen Street, Auburn, New York 13021",www.cayboces.org/,"< 2-year, Public",-
Center for Allied Health Education,"1401 Kings Highway, Brooklyn, New York 11229",https://www.cahe.edu/,"2-year, Private for-profit",Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
"Center for Instruction, Technology & Innovation","179 County  Route 64, Mexico, New York 13114",https://www.citiboces.org/domain/14,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Center for Ultrasound Research & Education,"333 Westchester Avenue Suite 101 West, White Plains, New York 10604",www.cure.edu/,"2-year, Private for-profit",Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
Central Yeshiva Beth Joseph,"1502 Avenue N, Brooklyn, New York 11230-6043",https://centralyeshivabethjoseph.com/,"4-year, Private not-for-profit",-
Central Yeshiva Tomchei Tmimim Lubavitz,"885 Eastern Parkway, Brooklyn, New York 11213-2798",https://cyttl.edu/,"4-year, Private not-for-profit",-
Charles Stuart School of Diamond Setting,"1420 Kings Hwy 2nd Fl, Brooklyn, New York 11229",charlesstuartschool.com./,"< 2-year, Private for-profit",Locksmithing and Safe Repair
"Christine Valmy International School for Esthetics, Skin Care & Makeup","1501 Broadway Suite 700, New York, New York 10036",https://www.christinevalmy.com/,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Circle in the Square Theatre School,"1633 Broadway, New York, New York 10019-6795",www.circlesquare.org/,"2-year, Private not-for-profit",-
Clarkson University,"8 Clarkson Ave, Potsdam, New York 13699",https://www.clarkson.edu/,"4-year, Private not-for-profit",-
Clarkson University Capital Region Campus,"80 Nott Terrace, Schenectady, New York 12308",https://www.clarkson.edu/academics/graduate,"4-year, Private not-for-profit",-
Clinton Community College,"136 Clinton Point Dr., Plattsburgh, New York 12901",https://www.clinton.edu/,"2-year, Public",-
Clinton Essex Warren Washington BOCES,"1585 Military Turnpike, Plattsburgh, New York 12901-0455",www.cves.org/,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Cochran School of Nursing,"967 North Broadway-Andrus Pavillion-Saint John's Riverside,  HOSP, Yonkers, New York 10701",www.cochranschoolofnursing.us/,"2-year, Private not-for-profit",-
Colgate Rochester Crozer Divinity School,"320 North Goodman St, Suite 207, Rochester, New York 14607",https://www.crcds.edu/,"4-year, Private not-for-profit",-
Colgate University,"13 Oak Drive, Hamilton, New York 13346-1398",https://www.colgate.edu/,"4-year, Private not-for-profit",-
College of Staten Island CUNY,"2800 Victory Blvd, Staten Island, New York 10314",www.csi.cuny.edu/,"4-year, Public",-
Columbia University in the City of New York,"West 116 St and Broadway, New York, New York 10027",www.columbia.edu/,"4-year, Private not-for-profit",-
Columbia-Greene Community College,"4400 Route 23, Hudson, New York 12534",https://www.sunycgcc.edu/,"2-year, Public",-
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,"1535 63rd Street, Brooklyn, New York 11219-5440",yeshivaaleksander.org/,"4-year, Private not-for-profit",-
Continental School of Beauty Culture-Mattydale,"2803 Brewerton Road, Mattydale, New York 13211-1003",continentalschoolofbeauty.edu/,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Continental School of Beauty Culture-Rochester,"633 Jefferson Rd, Rochester, New York 14623",continentalschoolofbeauty.edu/,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Continental School of Beauty Culture-West Seneca,"1050 Union Rd, West Seneca, New York 14224",continentalschoolofbeauty.edu/,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Cornell University,"300 Day Hall, Ithaca, New York 14853",www.cornell.edu/,"4-year, Private not-for-profit",-
Culinary Institute of America,"1946 Campus Drive, Hyde Park, New York 12538-1499",www.ciachef.edu/,"4-year, primarily associate's, Private not-for-profit",-
Culinary Tech Center,"303 Quarropas Street, White Plains, New York 10601",www.culinarytechcenter.edu/,"< 2-year, Private for-profit","Cooking and Related Culinary Arts, General"
CUNY Bernard M Baruch College,"One Bernard Baruch Way (55 Lexington Ave at 24th St), New York, New York 10010",www.baruch.cuny.edu/,"4-year, Public",-
CUNY Borough of Manhattan Community College,"199 Chambers St, New York, New York 10007",www.bmcc.cuny.edu/,"2-year, Public",-
CUNY Bronx Community College,"2155 University Avenue, Bronx, New York 10453",www.bcc.cuny.edu/,"2-year, Public",-
CUNY Brooklyn College,"2900 Bedford Ave, Brooklyn, New York 11210",www.brooklyn.cuny.edu/,"4-year, Public",-
CUNY Brooklyn College - Feirstein Graduate School of Cinema,"25 Washington Avenue, Brooklyn, New York 11205-1202",www.brooklyn.edu/feirstein/,"4-year, Public",-
CUNY City College,"160 Convent Ave, New York, New York 10031",www.ccny.cuny.edu/,"4-year, Public",-
CUNY Graduate School and University Center,"365 Fifth Ave, New York, New York 10016",www.gc.cuny.edu/,"4-year, Public",-
CUNY Hostos Community College,"500 Grand Concourse, Bronx, New York 10451",www.hostos.cuny.edu/,"2-year, Public",-
CUNY Hunter College,"695 Park Ave, New York, New York 10065",www.hunter.cuny.edu/,"4-year, Public",-
CUNY John Jay College of Criminal Justice,"524 W 59th St, New York, New York 10019",www.jjay.cuny.edu/,"4-year, Public",-
CUNY Kingsborough Community College,"2001 Oriental Blvd, Brooklyn, New York 11235",www.kbcc.cuny.edu/,"2-year, Public",-
CUNY LaGuardia Community College,"31-10 Thomson Ave, Long Island City, New York 11101",www.lagcc.cuny.edu/,"2-year, Public",-
CUNY Lehman College,"250 Bedford Park Blvd West, Bronx, New York 10468",www.lehman.edu/,"4-year, Public",-
CUNY Medgar Evers College,"1650 Bedford Ave, Brooklyn, New York 11225",https://www.mec.cuny.edu/,"4-year, Public",-
CUNY New York City College of Technology,"300 Jay St, Brooklyn, New York 11201",www.citytech.cuny.edu/,"4-year, Public",-
CUNY Queens College,"65-30 Kissena Blvd, Queens, New York 11367",https://www.qc.cuny.edu/,"4-year, Public",-
CUNY Queensborough Community College,"222-05 56th Ave, Bayside, New York 11364-1497",www.qcc.cuny.edu/,"2-year, Public",-
CUNY School of Law,"2 Court Square, Long Island City, New York 11101",https://www.law.cuny.edu/,"4-year, Public",-
CUNY Stella and Charles Guttman Community College,"50 West 40th Street, New York, New York 10018-2602",https://www.guttman.cuny.edu/,"2-year, Public",-
CUNY York College,"94-20 Guy R. Brewer Blvd, Jamaica, New York 11451",www.york.cuny.edu/,"4-year, Public",-
CVPH Medical Center School of Radiologic Technology,"75 Beekman St, Plattsburgh, New York 12901-1438",www.cvph.org/Residency-and-Education/School-of-Radiology/,"2-year, Private not-for-profit",Radiologic Technology/Science - Radiographer
Daemen University,"4380 Main St, Amherst, New York 14226-3592",www.daemen.edu/,"4-year, Private not-for-profit",-
Davis College,"4230 Glendale Road, Pottersville, New York 12860-2300",https://davisny.edu/,"4-year, Private not-for-profit",-
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,"6678 County Rd 32, Norwich, New York 13815-3554",www.dcmoboces.com/,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Derech Hachaim Seminary,"5 Israel Zupnik Drive, Monroe, New York 10950-6300",derechhachaimseminary.com/,"2-year, Private not-for-profit",-
DeVry College of New York,"180 Madison Ave, Ste 1100, New York, New York 10016",https://www.devry.edu/,"4-year, Private for-profit",-
Digital Film Academy,"630 9th Ave Ste 901, New York, New York 10036",www.digitalfilmacademy.edu/,"2-year, Private for-profit","Web Page, Digital/Multimedia and Information Resources Design"
Dominican University New York,"470 Western Highway, Orangeburg, New York 10962-1210",www.duny.edu/,"4-year, Private not-for-profit",-
Dutchess BOCES-Practical Nursing Program,"5 BOCES Road, Poughkeepsie, New York 12601-6599",https://www.dcboces.org/cti/lpn,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Dutchess Community College,"53 Pendell Rd, Poughkeepsie, New York 12601-1595",https://www.sunydutchess.edu/,"2-year, Public",-
D'Youville  University,"320 Porter Ave, Buffalo, New York 14201-1084",www.dyu.edu/,"4-year, Private not-for-profit",-
Eastern Suffolk BOCES,"375 Locust Avenue, Oakdale, New York 11769-1650",https://adulteducation.esboces.org/programs-services/cosmetology-program/about-cosmetology,"< 2-year, Public","Cosmetology/Cosmetologist, General"
Eastern Suffolk BOCES,"970 North Griffing Avenue, Riverhead, New York 11901-2763",https://adulteducation.esboces.org/programs-services/cosmetology-program/about-cosmetology,"< 2-year, Public","Cosmetology/Cosmetologist, General"
Eastern Suffolk BOCES,"30 Greene Avenue, Sayville, New York 11782",https://adulteducation.esboces.org/programs-services/eastern-suffolk-school-of-practical-nursing/nursing,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
