Name,Website,Location,Tuition,Acceptance Rate,Student-Faculty Ratio,Description
Adelphi University,https://www.collegexpress.com/college/adelphi-university/1100006/details/,"Garden City, NY","$39,820",74%,12:1,"Adelphi University, founded in 1896, is a private, coeducational institution. It is known for being a dotoral research university, with focus on the 'Core Four' areas of learning: arts and humanities; STEM and social sciences; business and education professions; and health and wellness. Its main 75-acre campus is in Garden City on Long Island, just 23 miles from New York City."
Albany College of Pharmacy and Health Sciences,https://www.collegexpress.com/college/albany-college-of-pharmacy-and-health-sciences/1100007/details/,"Albany, NY","$36,120",75%,8:1,"Established in 1881, Albany College of Pharmacy and Health Sciences is a private independent specialized health care institution with campuses in Albany, New York, and Colchester, Vermont."
Alfred State College,https://www.collegexpress.com/college/alfred-state-college/3000097/details/,"Alfred, NY","$7,070",71%,18:1,"SUNY College of Technology at Alfred, or Alfred State College, was founded as a school of agriculture in 1908, and was incorporated into the SUNY system in 1948. Today, the college offers a wide variety of majors, from welding to buisness, and focuses on hands-on instruction. Its 150-acre campus is located in Alfred, 75 miles south of Rochester, with a branch campus in Wellsville."
Alfred University,https://www.collegexpress.com/college/alfred-university/1100014/details/,"Alfred, NY","$33,760",64%,11:1,"Alfred University is a private, coeducational institution. Its 600-acre campus is located in Alfred, 75 miles south of Rochester."
Alliance University,https://www.collegexpress.com/college/alliance-university/2800143/details/,"New York, NY","$25,000",97%,12:1,"Alliance University, founded in 1882, is a private, Christian liberal arts college located in lower Manhattan."
AMDA New York,https://www.collegexpress.com/college/amda-new-york/3302606/details/,"New York, NY","$41,660",44%,,"The American Musical and Dramatic Academy, founded in 1964, is a private two-year institution. Its campus is located in New York, NY."
American Academy of Dramatic Arts,https://www.collegexpress.com/college/american-academy-of-dramatic-arts/3301905/details/,"New York, NY","$36,480",57%,,"American Academy of Dramatic Arts, founded in 1884, is a private specialized two-year institution. Its campus is located in New York, NY with a branch campus in Los Angeles."
Apex Technical School,https://www.collegexpress.com/college/apex-technical-school/3101001/details/,"Long Island City, NY",,,13:1,"Apex Technical School prepares students for career opportunities utilizing hands on technical training. The school has a rich tradition of service to New Yorkers since 1961 as a private school, licensed by the State of New York Education Department and accredited by the Accrediting Commission of Career Schools and Colleges."
ASA College,https://www.collegexpress.com/college/asa-college/3100996/details/,"Brooklyn, NY","$11,880",,,"ASA College is a private, coeducational institution. Its campus is located in Brooklyn, NY."
Atlantic Acting School,https://www.collegexpress.com/college/atlantic-acting-school/5001345/details/,"New York, NY","$17,000",,,Atlantic Acting School is a specialized institution. Its campus is located in New York.
Bard College,https://www.collegexpress.com/college/bard-college/1100165/details/,"Annandale-on-Hudson, NY","$55,566",56%,10:1,"Bard College, founded in 1860, is a private, liberal arts college. Its 1,000-acre campus is located in Annandale-on-Hudson, 90 miles north of New York City."
Barnard College,https://www.collegexpress.com/college/barnard-college/1100168/details/,"New York, NY","$55,781",13%,9:1,"Barnard College, founded in 1889, is a private, liberal arts college for women affiliated with Columbia University. Its four-acre campus is located in the Upper West Side of Manhattan."
"Baruch College, CUNY",https://www.collegexpress.com/college/baruch-college-cuny/1100930/details/,"New York, NY","$6,930",40%,19:1,"Founded in 1847, Bernard M. Baruch College of the City University of New York traces it roots to Free Academy. It is a public college located in the center of New York City's central business district."
Berk Trade and Business School,https://www.collegexpress.com/college/berk-trade-and-business-school/3101002/details/,"Long Island City, NY",,,20:1,"Berk Trade and Business School, founded in 1940, is a private, coeducational, technical/professional school. Its campus is located in Long Island City, New York."
Berkeley College—New York,https://www.collegexpress.com/college/berkeley-college-new-york/3000461/details/,"New York, NY","$25,300",,21:1,"Founded 1931, Berkeley College is a private coed institution. The main campus is located in mid-town Manhattan with additional locations in Brooklyn and White Plains, New York.  Programs also are available online."
Binghamton University,https://www.collegexpress.com/college/binghamton-university/1100131/details/,"Binghamton, NY","$7,070",43%,19:1,"Binghamton University, founded in 1946, is a medium-sized, comprehensive, doctoral-granting university. Its 930-acre campus is located in Binghamton, NY, just three hours from New York City and Philadelphia, PA."
Boricua College,https://www.collegexpress.com/college/boricua-college/1100192/details/,"New York, NY","$11,000",,,"Boricua College, founded in 1974, is a private, liberal arts college with an English/Spanish bilingual and bicultural curriculum. Its campus is located in Manhattan."
Borough of Manhattan Community College,https://www.collegexpress.com/college/borough-of-manhattan-community-college/3300972/details/,"New York, NY","$4,800",,24:1,"Borough of Manhattan Community College, founded in 1963, is a public two-year institution. Its campus is located in New York, NY."
Bronx Community College,https://www.collegexpress.com/college/bronx-community-college/3300973/details/,"Bronx, NY","$4,800",,,"Bronx Community College is a public, coeducational, two-year institution. Its campus is located in the Bronx, NY."
"Brooklyn College, CUNY",https://www.collegexpress.com/college/brooklyn-college-cuny/1100518/details/,"Brooklyn, NY","$6,930",49%,,"Founded in 1930, Brooklyn College is a public liberal arts institution in the City University of New York school system. Its 26-acre campus is located in Brooklyn's Flatbush section."
Buffalo State College,https://www.collegexpress.com/college/buffalo-state-college/1100138/details/,"Buffalo, NY","$7,070",80%,15:1,"Buffalo State, SUNY College at Buffalo, founded in 1867, is a public, multipurpose college of arts and sciences. Its 115-acre, urban campus is located in Buffalo."
Canisius University,https://www.collegexpress.com/college/canisius-university/1100989/details/,"Buffalo, NY","$28,630",76%,11:1,"Founded in 1870 by German Jesuits and named for St. Peter Canisius, Canisius University is the largest private university in Western New York. Its 72-acre campus is located in a residential neighborhood of North-Central Buffalo."
Cayuga Community College,https://www.collegexpress.com/college/cayuga-community-college/3300979/details/,"Auburn, NY","$4,992",,,"Cayuga Community College, founded in 1953, is a public two-year institution. Its 50-acre campus is located in Auburn, NY."
Charles Stuart School of Locksmithing,https://www.collegexpress.com/college/charles-stuart-school-of-locksmithing/3205176/details/,"Brooklyn, NY",,,,"Charles Stuart School of Locksmithing, founded in 1988, is a private two-year technical institution. Its campus is located in Brooklyn, NY."
Cheryl Fells School of Business,https://www.collegexpress.com/college/cheryl-fells-school-of-business/3101022/details/,"Niagara Falls, NY",,,,"Cheryl Fells School of Business is a private two-year technical institution. Its campus is located in Niagara Falls, NY."
Clarkson University,https://www.collegexpress.com/college/clarkson-university/1100295/details/,"Potsdam, NY","$51,454",77%,14:1,"Clarkson University is a private research university founded in 1896. Its 640-acre main campus is located in Potsdam, NY, with additional graduate programs and research facilities at its Capital Region Campus in Schenectady, NY, and its Beacon Institute for Rivers and Estuaries in Beacon, NY."
"Clinton Community College, SUNY",https://www.collegexpress.com/college/clinton-community-college-suny/3300980/details/,"Plattsburgh, NY","$5,518",,18:1,"Founded in 1969, Clinton Community College is a public two-year institution. Its 100-acre campus is located in Plattsburgh, NY."
Colgate University,https://www.collegexpress.com/college/colgate-university/1100298/details/,"Hamilton, NY","$59,655",27%,9:1,"Colgate University, founded in 1819, is a highly selective residential liberal arts institution. Its 550-acre campus is located in Hamilton, NY."
College of Mount St. Vincent,https://www.collegexpress.com/college/college-of-mount-st-vincent/1100328/details/,"Bronx, NY","$39,500",92%,13:1,"The College of Mount Saint Vincent is a co-educational, private, four-year college that provides an excellent liberal arts education in the Catholic tradition. Its 70-acre campus is located in the Riverdale section of the Bronx in New York City."
Columbia University,https://www.collegexpress.com/college/columbia-university/3000453/details/,"New York, NY","$58,920",6%,6:1,"Founded in 1754, Columbia University is a private coeducational institution. Its 36-acre campus is located in New York City."
Columbia–Greene Community College,https://www.collegexpress.com/college/columbia-greene-community-college/3300981/details/,"Hudson, NY","$4,968",,,"Columbia-Greene Community College, founded in 1966, is a public two-year institution. Its 144-acre campus is located in Hudson, NY."
Commercial Driver Training,https://www.collegexpress.com/college/commercial-driver-training/3101023/details/,"West Babylon, NY",,,,"Commercial Driver Training, founded in 1961, is a private vocational school specializing in driver training for tractor trailers, trucks, and buses. Its two-acre campus is located in West Babylon, NY."
Cope Education for Business,https://www.collegexpress.com/college/cope-education-for-business/3101024/details/,"Brooklyn, NY",,,,"Cope Institute, founded in 1977, is a private, coeducational, technical/professional institution. Its campus is located in Brooklyn."
Cornell University,https://www.collegexpress.com/college/cornell-university/1100516/details/,"Ithaca, NY","$58,586",10%,9:1,"Cornell University, founded in 1865, is a private, not-for-profit, co-educational, nonsectarian institution of higher learning chartered and operated under Laws of the State of New York. Although a private institution, Cornell is also the land-grant institution for New York State. Its 745-acre campus is located in Ithaca, 52 miles from Syracuse."
Cornell University Precollege Studies,https://www.collegexpress.com/college/cornell-university-precollege-studies/4001695/details/,"Ithaca, NY",,,,"The mission of Cornell University Precollege Studies is to present the broadest possible range of high-quality learning opportunities to Cornell's many constituencies. The SCE draws on the resources of all of Cornell's academic units, identifying needs and developing programs that most appropriately and effectively deploy Cornell's vast and varied educational resources. Cornell faculty members are joined by leaders in industry, government, and the professions, along with distinguished scholars from other institutions, to present these programs throughout the year."
D'Youville College,https://www.collegexpress.com/college/dyouville-college/1100691/details/,"Buffalo, NY","$27,986",83%,10:1,"D'Youville College is a private college. Founded as a women's college in 1908, it adopted coeducation in 1971. Its 17-acre campus is located less than a mile from the center of downtown Buffalo."
Daemen University,https://www.collegexpress.com/college/daemen-university/2100314/details/,"Amherst, NY","$29,700",61%,12:1,"Daemen University, founded in 1947, is a small, private, comprehensive institution with a mixture of liberal arts and career programs. Daemen offers bachelor's, master's, and clinical doctorate degrees as well as a post-secondary certificate and post-baccalaureate and post-master's certificates. Its 35-acre campus is located in Amherst, New York—a suburb of Buffalo"
Davis College,https://www.collegexpress.com/college/davis-college/3000278/details/,"Johnson City, NY","$15,750",28%,,"Davis College (formerly Practical Bible College), founded in 1900, is a private, faith-based, specialized school. Its 22-acre campus is located in Johnson City, NY, five miles from Binghamton and 70 miles from Syracuse."
"Dominican University, New York",https://www.collegexpress.com/college/dominican-university-new-york/1100623/details/,"Orangeburg, NY","$29,860",74%,15:1,"Founded in 1952, Dominican University in New York is a private non-affiliated liberal arts college offering undergraduate and graduate programs. Its 70-acre campus is located in Rockland County, 17 miles north of New York City."
Downstate Health Sciences University,https://www.collegexpress.com/college/downstate-health-sciences-university/3000064/details/,"Brooklyn, NY",,,,"SUNY Downstate Health Sciences University at Brooklyn, founded in 1858, is a public, upper-division institution. Its 13-acre campus is located in Brooklyn."
Dutchess Community College,https://www.collegexpress.com/college/dutchess-community-college/3300984/details/,"Poughkeepsie, NY","$4,350",,,"Dutchess Community College, founded in 1957, is a public two-year institution. Its campus is located in Poughkeepsie, NY."
Dutchess Community College South,https://www.collegexpress.com/college/dutchess-community-college-south/3302591/details/,"Wappingers Falls, NY","$4,620",,,"Dutchess Community College South is a public two-year institution. Its campus is located in Wappingers Falls, NY."
Eastman School of Music,https://www.collegexpress.com/college/eastman-school-of-music/4001723/details/,"Rochester, NY","$53,340",,,"Eastman School of Music, founded in 1921, is a private music conservatory within the University of Rochester. Its campus is located in Rochester, NY."
Elmira Business Institute,https://www.collegexpress.com/college/elmira-business-institute/3101030/details/,"Elmira, NY","$21,850",,,"Elmira Business Institute, founded in 1858, is a private, coeducational, two-year institution. Its campus is located in Elmira, New York."
Elmira College,https://www.collegexpress.com/college/elmira-college/2100318/details/,"Elmira, NY","$34,578",83%,,"Elmira College, steeped in tradition, is a private, residential, co-educational liberal arts college that emphasizes both general and professional education.  Founded as a women's college in 1855, it adopted coeducation in 1969. Its 55-acre campus is located in a residential area of Elmira, NY."
Empire Beauty School (New York),https://www.collegexpress.com/college/empire-beauty-school-new-york/5000981/details/,"Brooklyn, NY",,,,Empire Beauty Schools offer cosmetology programs at 96 locations across 20 states. Other programs such as nail technology and esthetics are available at select locations.
Erie Community College—City Campus,https://www.collegexpress.com/college/erie-community-college-city-campus/3300958/details/,"Buffalo, NY","$5,047",,15:1,"Founded in 1971, Erie Community College—City Campus is a public two-year liberal arts college. Its campus is located in Buffalo, New York."
Erie Community College—North Campus,https://www.collegexpress.com/college/erie-community-college-north-campus/3300956/details/,"Williamsville, NY","$4,900",74%,16:1,"Founded in 1946, Erie Community College—North Campus is a public two-year liberal arts college. Its 120-acre campus is located in Williamsville, New York."
Erie Community College—South Campus,https://www.collegexpress.com/college/erie-community-college-south-campus/3300957/details/,"Orchard Park, NY","$4,900",84%,13:1,"Founded in 1974, Erie Community College—South Campus is a public two-year institution. Its campus is located in Orchard Park, NY."
Eugene Lang College of Liberal Arts at The New School,https://www.collegexpress.com/college/eugene-lang-college-of-liberal-arts-at-the-new-school/1100772/details/,"New York, NY","$50,406",69%,11:1,"Founded in 1985, Eugene Lang College of Liberal Arts at The New School is a private coeducational institution. Its five-acre, urban campus is located in the Greenwich Village area of New York City"
Excelsior College,https://www.collegexpress.com/college/excelsior-college/3000168/details/,"Albany, NY",,,,"Founded in 1971, Excelsior College provides innovative and rigorous distance learning academic programs to adult learners. Accredited by Middle States, Excelsior offers 58 undergraduate and 3 graduate degree. Excelsior serves over 30,000 enrolled students in both its assessment and instruction based programs."
Farmingdale State College,https://www.collegexpress.com/college/farmingdale-state-college/1101080/details/,"Farmingdale, NY","$7,070",60%,19:1,"Farmingdale State College, founded in 1912, is a public college of technology and applied sciences. Its 380-acre campus is located in Farmingdale on Long Island, 35 miles from New York City."
Fashion Institute of Technology,https://www.collegexpress.com/college/fashion-institute-of-technology/1100515/details/,"New York, NY","$5,290",58%,16:1,"The Fashion Institute of Technology, founded in 1944, is a school of art and design and business and technology. It is a public institution, receiving its principal financial support from the State and City of New York. Its five-acre campus is located in midtown Manhattan, near the center of New York's fashion industry."
Finger Lakes Community College,https://www.collegexpress.com/college/finger-lakes-community-college/3300982/details/,"Canandaigua, NY","$4,864",,,"Finger Lakes Community College, founded in 1965, is a public, coeducational, two-year institution. Its campus is located in Canandaigua, NY."
Five Towns College,https://www.collegexpress.com/college/five-towns-college/3000000/details/,"Dix Hills, NY","$24,900",47%,,"Five Town College, founded in 1972, is a private coeducational institution. Its 35-acre campus is located in Dix Hills, 25 miles from New York City."
Fordham University,https://www.collegexpress.com/college/fordham-university/1100929/details/,"Bronx, NY","$54,730",52%,15:1,"Fordham University is the Jesuit University of New York.  Founded in 1841, our  85-acre Rose Hill campus is located in the Bronx, adjacent to the Botanical Gardens and Bronx Zoo. Our eight-acre Lincoln Center campus is located in Manhattan, right next to the Lincoln Center arts complex."
Fulton–Montgomery Community College,https://www.collegexpress.com/college/fulton-montgomery-community-college/3300959/details/,"Johnstown, NY","$5,040",,,"Founded in 1963, Fulton-Montgomery Community College,  is a public two-year coeducational institution. Its campus is located in Johnstown, NY."
Gemological Institute of America New York,https://www.collegexpress.com/college/gemological-institute-of-america-new-york/3101034/details/,"New York, NY",,,,"Gemological Institute of America, founded in 1931, is a private two-year professional institution. Its campus is located in New York, NY."
Genesee Community College,https://www.collegexpress.com/college/genesee-community-college/3300986/details/,"Batavia, NY","$4,550",,,"Genesee Community College, founded in 1966, is a public, two-year, liberal arts institution. Its 250-acre campus is located in Batavia, NY."
Guttman Community College,https://www.collegexpress.com/college/guttman-community-college/200000060/details/,"New York, NY","$4,800",,15:1,Guttman Community College is a public liberal arts community college in New York City. It's the newest of the City University of New York (CUNY) school system community colleges and was founded in September of 2012.
Hamilton College,https://www.collegexpress.com/college/hamilton-college/2100323/details/,"Clinton, NY","$57,930",18%,9:1,"Hamilton College is a private, liberal arts college. Founded in 1812, it adopted coeducation in 1978. Its 1,300-acre campus is located in Clinton, nine miles from Utica."
Harlem School of Technology,https://www.collegexpress.com/college/harlem-school-of-technology/3303571/details/,"New York, NY",,,,"Harlem School of Technology is a private, two-year technical institution. Its campus is located in New York, NY."
Hartwick College,https://www.collegexpress.com/college/hartwick-college/1100524/details/,"Oneonta, NY","$47,370",93%,10:1,"Hartwick College, founded in 1797, is a private liberal arts and sciences college. The 425-acre campus is located in Oneonta, New York."
Helene Fuld College of Nursing,https://www.collegexpress.com/college/helene-fuld-college-of-nursing/3302594/details/,"New York, NY",,,,"Helen Fuld College of Nursing, founded in 1945, is a private, specialized institution. Its campus is located in New York."
Herkimer County Community College,https://www.collegexpress.com/college/herkimer-county-community-college/3300987/details/,"Herkimer, NY","$5,016",,,"Herkimer County Community College, founded in 1967, is a public two-year institution. Its 500-acre campus is located in Herkimer, NY."
Hilbert College,https://www.collegexpress.com/college/hilbert-college/3000088/details/,"Hamburg, NY","$23,495",91%,12:1,"Hilbert College is a private, Catholic, Franciscan college. Founded in 1957, it adopted coeducation in 1969. Its 49-acre campus is located in the town of Hamburg, 10 miles from Buffalo."
Hobart and William Smith Colleges,https://www.collegexpress.com/college/hobart-and-william-smith-colleges/2100326/details/,"Geneva, NY","$57,400",61%,10:1,"Hobart College, founded in 1822, is a private liberal arts college for men. Coordinate college, William Smith, founded in 1908, is a private liberal arts college for women. Its 200-acre combined campus is located in Geneva."
Hofstra University,https://www.collegexpress.com/college/hofstra-university/2100327/details/,"Hempstead, NY","$48,315",69%,13:1,"Hofstra University, founded in 1935, is a private university. Its 240-acre campus is located in Hempstead, 25 miles east of New York City."
Hostos Community College,https://www.collegexpress.com/college/hostos-community-college/3301622/details/,"Bronx, NY","$4,800",,,"Hostos Community College, founded in 1968, is a public, specialized, coeducational institution. Its campus is located in Bronx, NY."
Houghton University,https://www.collegexpress.com/college/houghton-university/2100351/details/,"Houghton, NY","$33,920",79%,12:1,"Founded in 1883, Houghton University is a private coeducational Christian institution of the liberal arts and sciences. Its 1,300-acre campus is located in Houghton, NY, 60 miles from Buffalo and 70 miles from Rochester."
Hudson Valley Community College,https://www.collegexpress.com/college/hudson-valley-community-college/3300988/details/,"Troy, NY","$4,800",,19:1,"Hudson Valley Community College, founded in 1953, is a public two-year institution. Its 154-acre campus is located in Troy, NY."
Hunter Business School,https://www.collegexpress.com/college/hunter-business-school/3101037/details/,"Levittown, NY",,,,"Hunter Business School is a private, two-year, professional institution. Its campus is located in Levittown, NY."
"Hunter College, CUNY",https://www.collegexpress.com/college/hunter-college-cuny/1100566/details/,"New York, NY","$6,930",40%,14:1,"Founded in 1870, Hunter College is a public institution and part of the City University of New York system. Its three-block campus is located in New York City."
Iona University,https://www.collegexpress.com/college/iona-university/2100348/details/,"New Rochelle, NY","$39,380",85%,16:1,"Iona University is a coeducational Roman Catholic liberal arts institution founded in 1940 in the tradition of the Christian Brothers. Programs are offered through the Schools of Arts and Sciences and Business. Its 45-acre campus is located in New Rochelle on Long Island Sound, 16 miles from New York City."
Island Drafting & Technical Institute,https://www.collegexpress.com/college/island-drafting-technical-institute/3101040/details/,"Amityville, NY","$16,500",,,"Island Drafting and Technical Institute, founded in 1957, is a private, technical institute specializing in computer aided drafting/design technology. Its campus is located in Amityville, New York."
